,rms_angle_error,rms_angle_error_rad,rms_rate_error,rms_human_torque,rms_robot_torque,rms_human_power,rms_robot_power,human_angle_cost,robot_angle_cost,human_angle_gain,robot_angle_gain,system_angle_cost,system_angle_gain,authority,condition,condition_number,repetition,cost_variability,rms_estimated_human_torque,settings,participant,conflict
69,5.825753278277946,0.1016785761148036,0.5341507545674633,0.595106444089016,0.664470248521801,0.24169915964999628,0.7049942328765133,-3.812427925217426,12.0,-0.5071195803516612,4.006172022453366,8.187572074782574,3.5003754330982964,-1.0906118056456329,Negative Reinforcement,2,3,232.95747073617977,0.21856062870601006,Good Visuals,5,0.7243283489483154
70,5.155788898362632,0.0899854918141992,0.5002216950187509,0.445195615980726,0.2532838473758094,0.20518015550571478,0.2627442609178574,9.784873198179207,10.024384636158905,1.7843695727394207,1.8501708735561204,19.813971521590755,3.6345911887649107,-0.2687403335071361,Positive Reinforcement,1,0,230.41672656758584,0.1543680282916534,Good Visuals,5,0.519624678032626
71,5.264213944636854,0.09187786586331159,0.5368626486111087,0.4595809677422326,0.266590262250573,0.24470274845475953,0.3033823027214734,11.18879921393927,11.427557373187394,1.9106089994046958,1.9722252694211795,22.615909316325748,3.88279338567224,-0.2673448944722715,Positive Reinforcement,1,1,228.2301174096193,0.1697023135602239,Good Visuals,5,0.5294008647313156
74,6.451121154412652,0.11259330458955828,0.5110654058582932,0.3795314039394153,0.24374789048240852,0.21485433267129134,0.26930663168685126,5.760088246642919,6.000304262807266,1.3573918555871594,1.44298404797769,11.759458192089529,2.8002620207370397,-0.3190365934621133,Positive Reinforcement,1,2,219.79857134023055,0.1451735874500824,Good Visuals,6,0.44125084808487014
75,7.380139402382091,0.12880773182773414,0.48032606573750425,0.29933699057047497,0.22309149046998406,0.15611757175359456,0.2505423867012183,2.703820046572088,2.9438200465720876,0.9090310734349625,1.0325625924885977,5.646704088684558,1.9415101770478185,-0.37228186711797734,Positive Reinforcement,1,3,216.90676585307804,0.11866362478548932,Good Visuals,6,0.42341505695889053
78,3.9631478119559347,0.06916997806184015,0.37068571027135294,0.6589846374095257,0.7080197711399203,0.25216339951852684,0.6573350137740147,-54.33132847851707,12.0,-3.83449775136547,9.00199008564143,-42.33132847851707,5.167517125854329,-1.9504065112950695,Negative Reinforcement,2,0,249.71893546033718,0.2577004572403737,Good Visuals,6,0.7940665342601787
79,3.8962758566006896,0.06800284226364448,0.32668410262434305,0.5440762340168726,0.63915069278902,0.2485538194408735,0.6758455270740855,-53.69696794546333,12.0,-3.8076434221874154,8.955089769976036,-41.69696794546333,5.1475117611769585,-1.8647379515943117,Negative Reinforcement,2,1,285.1318956293029,0.2258803922589628,Good Visuals,6,0.7569656548027177
80,4.079339764195714,0.0711979101927443,0.3401945576976752,0.443469818857297,0.5296599702989649,0.17736865812266475,0.5535570874522565,-22.7331020435536,12.0,-2.189190072125397,6.286674202219052,-10.7331020435536,4.097742029810505,-1.6518147630686815,Negative Reinforcement,2,2,288.75886638256,0.15738206094403226,Good Visuals,6,0.6847533912608614
81,4.9140047718437305,0.08576556272738582,0.39546033068235686,0.3881526141688158,0.4263332881749182,0.11701198306559292,0.45181158936598226,0.5219635962758474,11.477935673801788,0.0779652838333557,3.3108344124471767,11.984752586383859,3.38879840778933,-0.9757521738038609,Negative Reinforcement,2,3,285.24261082737746,0.10184411296887368,Good Visuals,6,0.5969301803207088
82,6.2100094043092025,0.10838511068500732,0.49888113476594026,0.40698223901377784,0.24195233737933683,0.18803095428494623,0.26073918173211175,6.148453760867991,6.388453760867991,1.40446577263462,1.4872311440215773,12.53808323533332,2.8914592531500736,-0.2809572938058473,Positive Reinforcement,1,0,282.10089960393657,0.14383767648428744,Good Visuals,6,0.45305062743401125
